dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
africa,NCT05930782,Piperaquine Granule Formulation Relative Bioavailability and Food Effect Study in Healthy Volunteers.,OTHER,PREVENTION,DRUG,60,5,1,1,Tanzania,Tanzania,True,2023-08-14,2023-12-06,2025-03-06,114,456,49,True,True,False,False,,,,86.11,36.8,49.05,61.44
africa,NCT04940130,PfSPZ Vaccine Trial in Malian Children,INDUSTRY,PREVENTION,BIOLOGICAL | OTHER,290,2,1,1,Mali,Mali,True,2022-04-01,2022-12-10,2024-02-07,253,424,302,True,True,False,False,,,,79.72,41.39,45.86,59.53
africa,NCT01982812,A Safety and Feasibility Study of Enteral LVT vs. Standard of Care for Seizure Control in Pediatric CM,OTHER,TREATMENT,DRUG,44,2,1,1,Malawi,Malawi,True,2014-01-01,2015-06-01,2016-07-29,516,424,57,True,True,True,False,31672143,,,66.66,49.44,39.33,55.17
africa,NCT03568643,Azithromycin for Uncomplicated Severe Acute Malnutrition in Burkina Faso (Pilot),OTHER,TREATMENT,DRUG,301,2,1,1,Burkina Faso,Burkina Faso,True,2020-06-03,2020-12-25,2022-09-01,205,615,720,True,True,True,False,33879263|34583344|35895362|36509053,,,70.56,40.83,41.28,54.3
africa,NCT02851108,Methylene Blue Against Falciparum Malaria in Burkina Faso,OTHER,TREATMENT,DRUG,100,2,1,1,Burkina Faso,Burkina Faso,True,2016-10-01,2016-12-01,2020-03-25,61,1210,95,True,True,True,False,31600221,,,64.72,45.69,38.36,52.79
africa,NCT02282293,Reducing the Burden of Malaria in HIV-Infected Pregnant Women and Their HIV-Exposed Children (PROMOTE-BC2),OTHER,PREVENTION,DRUG,200,2,1,1,Uganda,Uganda,True,2014-12-09,2016-05-26,2019-03-05,534,1013,40,True,True,True,True,27614925|27717402|27821443|28187497|28329368|28480292|29029337|29272443|30530597|33020153|39324693,27614925|27717402|28329368|28480292|29029337,128,58.86,43.75,43.43,50.49
africa,NCT00358332,Phase I Pediatric FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,100,3,1,1,Mali,Mali,True,2006-11-01,2007-12-01,2009-03-04,395,459,97,True,True,True,True,20140214,20140214,796,56.74,40.0,42.37,48.01
africa,NCT00460525,Phase II AMA-1 Malaria Vaccine FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,400,2,1,1,Mali,Mali,True,2007-05-01,2009-07-01,2010-08-10,792,405,19,True,True,True,True,12011004|17442466|21916638|24260195|27087149|28282396,12011004|17442466,,57.22,37.91,42.61,47.54
africa,NCT04329104,Safety and Efficacy of CIS43LS Anti-malaria mAb in Mali,NIH,PREVENTION,BIOLOGICAL | OTHER,348,6,2,1,Mali,Mali,True,2021-02-15,2022-01-26,2024-05-02,345,827,322,True,True,True,True,36317783|40461818,36317783,295,65.87,24.16,46.94,47.49
africa,NCT01976416,Novel Use Of Hydroxyurea in an African Region With Malaria,OTHER,TREATMENT,DRUG,208,2,1,1,Uganda,Uganda,True,2014-09-01,2016-10-01,2018-10-01,761,730,314,True,True,True,True,27339303|29051184|31135090|40765704|41026975,29051184,439,50.37,43.47,39.19,45.72
africa,NCT03676751,MORDOR II Burkina Faso: Longitudinal Trial,OTHER,PREVENTION,DRUG,500,2,1,1,Burkina Faso,Burkina Faso,True,2019-10-10,2020-07-06,2023-08-09,270,1129,388,True,True,True,False,33731058|34465327|35944061|38227963,,,55.55,36.52,33.77,44.53
africa,NCT02118428,Clinical and Biological Efficacy of Mirasol-treated Fresh Whole Blood for the Prevention of Transfusion-transmitted Malaria,INDUSTRY,PREVENTION,BIOLOGICAL | DEVICE,227,2,1,1,Ghana,Ghana,True,2014-03-01,2014-12-01,2019-05-10,275,1621,2,True,True,True,False,27116282,,,49.45,43.05,30.73,43.47
africa,NCT02163447,Reducing the Burden of Malaria in HIV-uninfected Pregnant Women and Infants,OTHER,PREVENTION,DRUG,300,5,1,1,Uganda,Uganda,True,2014-06-23,2018-05-14,2018-11-14,1421,184,18,True,True,True,True,26962728|27566109|28968782|28982374|29547881|30016328|30628574|31173649|31307883|33020153|34795281,26962728|27566109|28968782|28982374|30016328|30628574|31307883,,51.66,30.7,39.83,41.96
africa,NCT03952650,Sanaria PfSPZ Challenge With Pyrimethamine or Chloroquine Chemoprophylaxis Vaccination (PfSPZ-CVac Approach): A Randomized Double Blind Placebo Controlled Phase I/II Trial to Determine Safety and Protective Efficacy Against Natural Plasmodium Falcipa...,NIH,OTHER,BIOLOGICAL | DRUG,252,13,1,1,Mali,Mali,True,2019-05-23,2021-02-10,2022-07-12,629,517,8,True,True,True,False,19641203|26469716|28199305,,,53.05,28.47,32.52,40.34
africa,NCT04532931,Four Different Experimental Drug Regimens to Standard of Care for the Treatment of Symptomatic Outpatients With COVID-19,INDUSTRY,TREATMENT,DRUG,192,5,1,1,South Africa,South Africa,True,2020-09-03,2021-08-05,2025-07-28,336,1453,8,True,True,False,False,,,,48.61,33.61,30.3,39.7
africa,NCT03510481,"Safety, Immunogenicity, and Protective Efficacy of Two Regimens of Radiation Attenuated Plasmodium Falciparum NF54 Sporozoites (PfSPZ Vaccine) During Natural Transmission Season in Healthy African Adults in Mali",NIH,PREVENTION,BIOLOGICAL | DRUG,478,4,1,1,Mali,Mali,True,2018-05-14,2019-11-23,2021-08-20,558,636,18,True,True,True,False,28216244|31782768|39153490,,,51.95,27.91,31.98,39.54
africa,NCT03300648,Treating Brain Swelling in Pediatric Cerebral Malaria,OTHER,TREATMENT,DRUG | OTHER,57,3,1,1,Malawi,Malawi,True,2018-01-08,2023-12-31,2025-03-17,2183,442,102,True,True,True,False,34020114,,,41.39,42.5,26.7,38.84
africa,NCT01323972,Consistency of Immunogenicity and Non Inferiority of GSK Biologicals' Candidate Malaria Vaccine Lots in Children,INDUSTRY,PREVENTION,BIOLOGICAL,327,4,2,1,Nigeria,Nigeria,True,2011-05-16,2011-11-22,2017-08-07,190,2085,81,True,True,False,False,,,,50.28,27.36,31.14,38.43
africa,NCT01231503,Safety and Immunogenicity of GSK Biologicals' Malaria Vaccine 257049 When Administered on 7 Schedules to African Infants,INDUSTRY,PREVENTION,BIOLOGICAL,480,8,1,1,Malawi,Malawi,True,2011-01-13,2014-04-30,2015-05-20,1203,385,91,True,True,True,False,29432383,,,52.23,23.89,32.11,38.29
africa,NCT03399318,Aggressive Antipyretics for Fever Reduction in CNS Malaria,OTHER,TREATMENT,DRUG,256,2,3,2,Malawi | Zambia,Malawi | Zambia,True,2019-01-07,2022-12-02,2024-03-05,1425,459,447,True,True,True,False,36316704|38857015,,,40.27,35.97,26.14,35.94
africa,NCT00289185,"Study of Safety, Immunogenicity and Efficacy of a Candidate Malaria Vaccine in Tanzanian Infants",INDUSTRY,PREVENTION,BIOLOGICAL,340,2,1,1,Tanzania,Tanzania,True,2006-09-27,2008-02-11,2013-07-08,502,1974,231,True,True,True,False,19064623|23297680,,,35.28,39.3,23.64,34.36
africa,NCT03989102,"Safety, Immunogenicity, and Protective Efficacy of Radiation Attenuated Plasmodium Falciparum NF54 Sporozoites (PfSPZ Vaccine) During Malaria Transmission Season in Healthy African Adult Women of Childbearing Potential in Mali",NIH,PREVENTION,BIOLOGICAL | OTHER,324,3,1,1,Mali,Mali,True,2019-07-03,2022-04-05,2024-03-19,1007,714,19,True,True,True,False,19946222|23929949|28216244|34801112|35999221|36475905|39153490,,,35.84,34.3,23.92,32.92
